County,year,month,cnt_entries,cnt_exits
Alameda,2022,1,1157.274193548387,1157.2155425219942
Alameda,2022,2,1501.2824675324675,1486.8457792207791
Alameda,2022,3,1763.491202346041,1746.0102639296188
Alameda,2022,4,1818.3363636363636,1822.7757575757576
Alameda,2022,5,1481.2727272727273,1478.5
Contra Costa,2022,1,955.8739002932551,975.5131964809384
Contra Costa,2022,2,1194.25,1209.8766233766235
Contra Costa,2022,3,1431.8533724340175,1444.134897360704
Contra Costa,2022,4,1468.3333333333333,1485.4575757575758
Contra Costa,2022,5,1168.6818181818182,1196.1363636363637
San Francisco,2022,1,3591.891129032258,3604.766129032258
San Francisco,2022,2,4558.973214285715,4603.982142857143
San Francisco,2022,3,5509.241935483871,5581.318548387097
San Francisco,2022,4,5809.420833333334,5799.908333333334
San Francisco,2022,5,4564.5,4575.75
San Mateo,2022,1,1159.3290322580644,1092.8129032258064
San Mateo,2022,2,1433.4214285714286,1388.357142857143
San Mateo,2022,3,1747.0516129032258,1680.1612903225807
San Mateo,2022,4,1862.7733333333333,1813.7866666666666
San Mateo,2022,5,1622.6,1588.7
Santa Clara,2022,1,411.4032258064516,430.258064516129
Santa Clara,2022,2,573.7857142857143,594.9107142857143
Santa Clara,2022,3,727.1612903225806,746.4354838709677
Santa Clara,2022,4,768.5166666666667,788.4333333333333
Santa Clara,2022,5,596.75,613.25
