County,year,cnt_entries,cnt_exits
Alameda,2019,5106.463138231631,5087.211457036115
Alameda,2020,1398.373947996483,1396.562240924507
Alameda,2021,1120.0947696139476,1112.3808219178081
Alameda,2022,1558.1333830104322,1551.4094634873322
Contra Costa,2019,3827.248069738481,3852.661270236613
Contra Costa,2020,1121.2814386317907,1135.1700201207243
Contra Costa,2021,941.8490518962076,939.437375249501
Contra Costa,2022,1261.032041728763,1277.3904619970194
San Francisco,2019,17930.179794520547,18135.348630136985
San Francisco,2020,4581.369475138122,4609.59185082873
San Francisco,2021,3379.614383561644,3427.005821917808
San Francisco,2022,4862.2786885245905,4892.039959016393
San Mateo,2019,4972.838356164383,4726.1172602739725
San Mateo,2020,1274.4812154696133,1217.6419889502763
San Mateo,2021,1071.7702034084662,1032.504123144585
San Mateo,2022,1552.1475409836066,1495.3049180327869
Santa Clara,2019,10.431034482758621,10.327586206896552
Santa Clara,2020,200.4860465116279,209.92558139534884
Santa Clara,2021,393.4945205479452,409.9506849315068
Santa Clara,2022,619.7581967213115,639.4631147540983
