Name,County,station,date,cnt_entries,cnt_exits
Richmond,Contra Costa,RICH,2020-01-01,1046,1305
Richmond,Contra Costa,RICH,2020-01-02,3480,3198
Richmond,Contra Costa,RICH,2020-01-03,3595,3375
Richmond,Contra Costa,RICH,2020-01-04,1801,1737
Richmond,Contra Costa,RICH,2020-01-05,1300,1291
Richmond,Contra Costa,RICH,2020-01-06,4144,3966
Richmond,Contra Costa,RICH,2020-01-07,4317,4169
Richmond,Contra Costa,RICH,2020-01-08,4340,4155
Richmond,Contra Costa,RICH,2020-01-09,4152,4074
Richmond,Contra Costa,RICH,2020-01-10,4241,4139
Richmond,Contra Costa,RICH,2020-01-11,1904,1860
Richmond,Contra Costa,RICH,2020-01-12,1194,1218
Richmond,Contra Costa,RICH,2020-01-13,4179,4100
Richmond,Contra Costa,RICH,2020-01-14,4426,4389
Richmond,Contra Costa,RICH,2020-01-15,4421,4295
Richmond,Contra Costa,RICH,2020-01-16,4094,3966
Richmond,Contra Costa,RICH,2020-01-17,4129,3953
Richmond,Contra Costa,RICH,2020-01-18,1959,1960
Richmond,Contra Costa,RICH,2020-01-19,1221,1328
Richmond,Contra Costa,RICH,2020-01-20,2283,2229
Richmond,Contra Costa,RICH,2020-01-22,4598,4485
Richmond,Contra Costa,RICH,2020-01-23,4562,4454
Richmond,Contra Costa,RICH,2020-01-24,4555,4307
Richmond,Contra Costa,RICH,2020-01-25,1970,2040
Richmond,Contra Costa,RICH,2020-01-26,1265,1311
Richmond,Contra Costa,RICH,2020-01-27,4549,4367
Richmond,Contra Costa,RICH,2020-01-28,4680,4541
Richmond,Contra Costa,RICH,2020-01-29,4640,4468
Richmond,Contra Costa,RICH,2020-01-30,4672,4530
Richmond,Contra Costa,RICH,2020-01-31,4516,4311
Richmond,Contra Costa,RICH,2020-02-01,1877,1969
Richmond,Contra Costa,RICH,2020-02-02,1297,1341
Richmond,Contra Costa,RICH,2020-02-03,4507,4313
Richmond,Contra Costa,RICH,2020-02-04,4585,4487
Richmond,Contra Costa,RICH,2020-02-05,4595,4532
Richmond,Contra Costa,RICH,2020-02-06,4681,4544
Richmond,Contra Costa,RICH,2020-02-07,4423,4287
Richmond,Contra Costa,RICH,2020-02-08,2150,2124
Richmond,Contra Costa,RICH,2020-02-09,1311,1295
Richmond,Contra Costa,RICH,2020-02-10,4425,4227
Richmond,Contra Costa,RICH,2020-02-11,4831,4685
Richmond,Contra Costa,RICH,2020-02-12,4567,4560
Richmond,Contra Costa,RICH,2020-02-13,4685,4557
Richmond,Contra Costa,RICH,2020-02-14,4271,4042
Richmond,Contra Costa,RICH,2020-02-15,1358,825
Richmond,Contra Costa,RICH,2020-02-16,1382,1386
Richmond,Contra Costa,RICH,2020-02-17,2656,2566
Richmond,Contra Costa,RICH,2020-02-18,4829,4540
Richmond,Contra Costa,RICH,2020-02-20,4559,4368
Richmond,Contra Costa,RICH,2020-02-21,4388,4062
Richmond,Contra Costa,RICH,2020-02-22,1964,1953
Richmond,Contra Costa,RICH,2020-02-23,1299,1262
Richmond,Contra Costa,RICH,2020-02-25,4782,4651
Richmond,Contra Costa,RICH,2020-02-26,4626,4508
Richmond,Contra Costa,RICH,2020-02-27,4664,4499
Richmond,Contra Costa,RICH,2020-02-28,4417,4208
Richmond,Contra Costa,RICH,2020-02-29,1909,1999
Richmond,Contra Costa,RICH,2020-03-01,1325,1301
Richmond,Contra Costa,RICH,2020-03-02,4404,4242
Richmond,Contra Costa,RICH,2020-03-03,4633,4502
Richmond,Contra Costa,RICH,2020-03-04,4581,4387
Richmond,Contra Costa,RICH,2020-03-05,4474,4395
Richmond,Contra Costa,RICH,2020-03-06,4134,3920
Richmond,Contra Costa,RICH,2020-03-07,1677,1754
Richmond,Contra Costa,RICH,2020-03-08,1191,1157
Richmond,Contra Costa,RICH,2020-03-09,4048,3905
Richmond,Contra Costa,RICH,2020-03-10,3800,3762
Richmond,Contra Costa,RICH,2020-03-11,3786,3755
Richmond,Contra Costa,RICH,2020-03-12,3535,3422
