date,county,population,cases,deaths
2020-02-01,Alameda,1685886.0,3.0,0.0
2020-02-02,Alameda,1685886.0,0.0,0.0
2020-02-03,Alameda,1685886.0,0.0,0.0
2020-02-04,Alameda,1685886.0,0.0,0.0
2020-02-05,Alameda,1685886.0,0.0,0.0
2020-02-06,Alameda,1685886.0,0.0,0.0
2020-02-07,Alameda,1685886.0,0.0,0.0
2020-02-08,Alameda,1685886.0,0.0,0.0
2020-02-09,Alameda,1685886.0,1.0,0.0
2020-02-10,Alameda,1685886.0,0.0,0.0
2020-02-11,Alameda,1685886.0,0.0,0.0
2020-02-12,Alameda,1685886.0,0.0,0.0
2020-02-13,Alameda,1685886.0,0.0,0.0
2020-02-14,Alameda,1685886.0,0.0,0.0
2020-02-15,Alameda,1685886.0,1.0,0.0
2020-02-16,Alameda,1685886.0,0.0,0.0
2020-02-17,Alameda,1685886.0,1.0,0.0
2020-02-18,Alameda,1685886.0,0.0,0.0
2020-02-19,Alameda,1685886.0,0.0,0.0
2020-02-20,Alameda,1685886.0,1.0,0.0
2020-02-21,Alameda,1685886.0,2.0,0.0
2020-02-22,Alameda,1685886.0,1.0,0.0
2020-02-23,Alameda,1685886.0,1.0,0.0
2020-02-24,Alameda,1685886.0,2.0,0.0
2020-02-25,Alameda,1685886.0,0.0,0.0
2020-02-26,Alameda,1685886.0,0.0,0.0
2020-02-27,Alameda,1685886.0,0.0,0.0
2020-02-28,Alameda,1685886.0,1.0,0.0
2020-02-29,Alameda,1685886.0,2.0,0.0
2020-03-01,Alameda,1685886.0,4.0,0.0
2020-03-02,Alameda,1685886.0,1.0,0.0
2020-03-03,Alameda,1685886.0,3.0,0.0
2020-03-04,Alameda,1685886.0,6.0,0.0
2020-03-05,Alameda,1685886.0,4.0,0.0
2020-03-06,Alameda,1685886.0,5.0,0.0
2020-03-07,Alameda,1685886.0,2.0,0.0
2020-03-08,Alameda,1685886.0,5.0,0.0
2020-03-09,Alameda,1685886.0,25.0,0.0
2020-03-10,Alameda,1685886.0,28.0,0.0
2020-03-11,Alameda,1685886.0,21.0,0.0
2020-03-12,Alameda,1685886.0,32.0,0.0
2020-03-13,Alameda,1685886.0,26.0,0.0
2020-03-14,Alameda,1685886.0,19.0,0.0
2020-03-15,Alameda,1685886.0,19.0,0.0
2020-03-16,Alameda,1685886.0,47.0,0.0
2020-03-17,Alameda,1685886.0,29.0,0.0
2020-03-18,Alameda,1685886.0,32.0,0.0
2020-03-19,Alameda,1685886.0,28.0,0.0
2020-03-20,Alameda,1685886.0,36.0,0.0
2020-03-21,Alameda,1685886.0,21.0,0.0
2020-03-22,Alameda,1685886.0,24.0,2.0
2020-03-23,Alameda,1685886.0,39.0,0.0
2020-03-24,Alameda,1685886.0,31.0,0.0
2020-03-25,Alameda,1685886.0,33.0,2.0
2020-03-26,Alameda,1685886.0,21.0,1.0
2020-03-27,Alameda,1685886.0,40.0,2.0
2020-03-28,Alameda,1685886.0,19.0,3.0
2020-03-29,Alameda,1685886.0,27.0,0.0
2020-03-30,Alameda,1685886.0,34.0,0.0
2020-03-31,Alameda,1685886.0,40.0,1.0
2020-04-01,Alameda,1685886.0,68.0,2.0
2020-04-02,Alameda,1685886.0,27.0,1.0
2020-04-03,Alameda,1685886.0,51.0,1.0
2020-04-04,Alameda,1685886.0,36.0,1.0
2020-04-05,Alameda,1685886.0,23.0,2.0
2020-04-06,Alameda,1685886.0,42.0,2.0
2020-04-07,Alameda,1685886.0,30.0,3.0
2020-04-08,Alameda,1685886.0,35.0,3.0
2020-04-09,Alameda,1685886.0,42.0,2.0
2020-04-10,Alameda,1685886.0,50.0,2.0
2020-04-11,Alameda,1685886.0,41.0,3.0
2020-04-12,Alameda,1685886.0,41.0,4.0
2020-04-13,Alameda,1685886.0,43.0,3.0
2020-04-14,Alameda,1685886.0,39.0,4.0
