station_nm,station_cnty,station_abbr,date,cnt_entries,cnt_exits
Richmond,Contra Costa,RICH,2019-01-01,985,1128
Richmond,Contra Costa,RICH,2019-01-02,3521,3285
Richmond,Contra Costa,RICH,2019-01-03,3814,3621
Richmond,Contra Costa,RICH,2019-01-04,3673,3510
Richmond,Contra Costa,RICH,2019-01-05,1305,1342
Richmond,Contra Costa,RICH,2019-01-06,913,941
Richmond,Contra Costa,RICH,2019-01-07,3991,3714
Richmond,Contra Costa,RICH,2019-01-08,4133,4023
Richmond,Contra Costa,RICH,2019-01-09,4115,4037
Richmond,Contra Costa,RICH,2019-01-10,4184,4082
Richmond,Contra Costa,RICH,2019-01-11,3838,3605
Richmond,Contra Costa,RICH,2019-01-12,1668,1548
Richmond,Contra Costa,RICH,2019-01-13,1210,1128
Richmond,Contra Costa,RICH,2019-01-14,4026,3903
Richmond,Contra Costa,RICH,2019-01-15,4003,3922
Richmond,Contra Costa,RICH,2019-01-16,4057,4023
Richmond,Contra Costa,RICH,2019-01-17,4049,3965
Richmond,Contra Costa,RICH,2019-01-18,4207,4118
Richmond,Contra Costa,RICH,2019-01-19,1827,1788
Richmond,Contra Costa,RICH,2019-01-20,1047,1117
Richmond,Contra Costa,RICH,2019-01-21,2221,2103
Richmond,Contra Costa,RICH,2019-01-22,4333,4208
Richmond,Contra Costa,RICH,2019-01-23,4368,4282
Richmond,Contra Costa,RICH,2019-01-24,4398,4159
Richmond,Contra Costa,RICH,2019-01-25,4176,4006
Richmond,Contra Costa,RICH,2019-01-26,1884,1895
Richmond,Contra Costa,RICH,2019-01-27,1370,1337
Richmond,Contra Costa,RICH,2019-01-28,4287,4098
Richmond,Contra Costa,RICH,2019-01-29,4527,4389
Richmond,Contra Costa,RICH,2019-01-30,4498,4338
Richmond,Contra Costa,RICH,2019-01-31,4531,4320
Richmond,Contra Costa,RICH,2019-02-01,4135,3971
Richmond,Contra Costa,RICH,2019-02-02,1681,1640
Richmond,Contra Costa,RICH,2019-02-03,1104,1191
Richmond,Contra Costa,RICH,2019-02-04,4233,4018
Richmond,Contra Costa,RICH,2019-02-05,4363,4281
Richmond,Contra Costa,RICH,2019-02-06,4516,4356
Richmond,Contra Costa,RICH,2019-02-07,4405,4374
Richmond,Contra Costa,RICH,2019-02-08,3992,3915
Richmond,Contra Costa,RICH,2019-02-09,1696,1622
Richmond,Contra Costa,RICH,2019-02-10,1242,1144
Richmond,Contra Costa,RICH,2019-02-11,4227,4001
Richmond,Contra Costa,RICH,2019-02-12,4339,4172
Richmond,Contra Costa,RICH,2019-02-13,3958,3958
Richmond,Contra Costa,RICH,2019-02-14,4141,4066
Richmond,Contra Costa,RICH,2019-02-15,3966,3934
Richmond,Contra Costa,RICH,2019-02-16,1734,1611
Richmond,Contra Costa,RICH,2019-02-17,1220,1193
Richmond,Contra Costa,RICH,2019-02-18,2229,1992
Richmond,Contra Costa,RICH,2019-02-19,4406,4295
Richmond,Contra Costa,RICH,2019-02-20,4354,4222
Richmond,Contra Costa,RICH,2019-02-21,4287,4205
Richmond,Contra Costa,RICH,2019-02-22,4033,3889
Richmond,Contra Costa,RICH,2019-02-23,1858,1764
Richmond,Contra Costa,RICH,2019-02-24,1251,1090
Richmond,Contra Costa,RICH,2019-02-25,4131,3882
Richmond,Contra Costa,RICH,2019-02-26,4103,3963
Richmond,Contra Costa,RICH,2019-02-27,4223,4118
Richmond,Contra Costa,RICH,2019-02-28,4469,4365
Richmond,Contra Costa,RICH,2019-03-01,4230,4053
Richmond,Contra Costa,RICH,2019-03-02,1604,1546
Richmond,Contra Costa,RICH,2019-03-03,1195,1189
Richmond,Contra Costa,RICH,2019-03-04,4483,4103
Richmond,Contra Costa,RICH,2019-03-05,4381,4370
Richmond,Contra Costa,RICH,2019-03-06,4273,4167
Richmond,Contra Costa,RICH,2019-03-07,4535,4432
Richmond,Contra Costa,RICH,2019-03-08,4161,4163
Richmond,Contra Costa,RICH,2019-03-09,1003,1126
Richmond,Contra Costa,RICH,2019-03-10,1128,1093
Richmond,Contra Costa,RICH,2019-03-11,4235,4058
