station_cnty,year,month,cnt_entries,cnt_exits,dateInt,date,cnt_riders
Alameda,2019,1,3286763,3298306,20190101,2019-01-01,6585069
Alameda,2019,2,3090160,3094101,20190201,2019-02-01,6184261
Alameda,2019,3,3447245,3442029,20190301,2019-03-01,6889274
Alameda,2019,4,3564256,3557026,20190401,2019-04-01,7121282
Alameda,2019,5,3566729,3548055,20190501,2019-05-01,7114784
Alameda,2019,6,3424377,3398146,20190601,2019-06-01,6822523
Alameda,2019,7,3503253,3497756,20190701,2019-07-01,7001009
Alameda,2019,8,3612486,3607154,20190801,2019-08-01,7219640
Alameda,2019,9,3548956,3538913,20190901,2019-09-01,7087869
Alameda,2019,10,3747857,3717827,20191001,2019-10-01,7465684
Alameda,2019,11,3214436,3196362,20191101,2019-11-01,6410798
Alameda,2019,12,2998381,2954633,20191201,2019-12-01,5953014
Alameda,2020,1,3072638,3070956,20200101,2020-01-01,6143594
Alameda,2020,2,2859488,2848923,20200201,2020-02-01,5708411
Alameda,2020,3,1470095,1471615,20200301,2020-03-01,2941710
Alameda,2020,4,249652,248858,20200401,2020-04-01,498510
Alameda,2020,5,303986,305245,20200501,2020-05-01,609231
Alameda,2020,6,408059,407337,20200601,2020-06-01,815396
Alameda,2020,7,455285,455181,20200701,2020-07-01,910466
Alameda,2020,8,444710,444416,20200801,2020-08-01,889126
Alameda,2020,9,454326,454350,20200901,2020-09-01,908676
Alameda,2020,10,519052,516670,20201001,2020-10-01,1035722
Alameda,2020,11,466167,465635,20201101,2020-11-01,931802
Alameda,2020,12,428997,428846,20201201,2020-12-01,857843
Alameda,2021,1,393875,397246,20210101,2021-01-01,791121
Alameda,2021,2,419220,420417,20210201,2021-02-01,839637
Alameda,2021,3,519244,525468,20210301,2021-03-01,1044712
Alameda,2021,4,567293,575298,20210401,2021-04-01,1142591
Alameda,2021,5,623321,621233,20210501,2021-05-01,1244554
Alameda,2021,6,727292,714559,20210601,2021-06-01,1441851
Alameda,2021,7,810875,800768,20210701,2021-07-01,1611643
Alameda,2021,8,923786,922151,20210801,2021-08-01,1845937
Alameda,2021,9,1020465,1014406,20210901,2021-09-01,2034871
Alameda,2021,10,1046275,1028322,20211001,2021-10-01,2074597
Alameda,2021,11,1001187,988949,20211101,2021-11-01,1990136
Alameda,2021,12,941528,923601,20211201,2021-12-01,1865129
Alameda,2022,1,789261,789221,20220101,2022-01-01,1578482
Alameda,2022,2,924790,915897,20220201,2022-02-01,1840687
Alameda,2022,3,1202701,1190779,20220301,2022-03-01,2393480
Alameda,2022,4,1200102,1203032,20220401,2022-04-01,2403134
Alameda,2022,5,1268382,1257412,20220501,2022-05-01,2525794
Alameda,2022,6,1300755,1278364,20220601,2022-06-01,2579119
Alameda,2022,7,1219227,1205779,20220701,2022-07-01,2425006
Alameda,2022,8,1416376,1403662,20220801,2022-08-01,2820038
Alameda,2022,9,1464331,1448689,20220901,2022-09-01,2913020
Alameda,2022,10,1471310,1454736,20221001,2022-10-01,2926046
Alameda,2022,11,1305469,1289646,20221101,2022-11-01,2595115
Alameda,2022,12,99485,97498,20221201,2022-12-01,196983
Contra Costa,2019,1,1321039,1328942,20190101,2019-01-01,2649981
Contra Costa,2019,2,1211142,1218921,20190201,2019-02-01,2430063
Contra Costa,2019,3,1342940,1355144,20190301,2019-03-01,2698084
