Name,County,Code
Richmond,Contra Costa,RICH
El Cerrito Del Norte,Contra Costa,DELN
El Cerrito Plaza,Contra Costa,PLZA
North Berkeley,Alameda,NBRK
Berkeley,Alameda,DBRK
Ashby,Alameda,ASHB
MacArthur,Alameda,MCAR
19th Street Oakland,Alameda,19TH
12th Street / Oakland City Center,Alameda,12TH
Lake Merritt,Alameda,LAKE
Fruitvale,Alameda,FTVL
Coliseum,Alameda,COLS
San Leandro,Alameda,SANL
Bayfair,Alameda,BAYF
Hayward,Alameda,HAYW
South Hayward,Alameda,SHAY
Union City,Alameda,UCTY
Fremont,Alameda,FRMT
Concord,Contra Costa,CONC
Pleasant Hill,Contra Costa,PHIL
Walnut Creek,Contra Costa,WCRK
Lafayette,Contra Costa,LAFY
Orinda,Contra Costa,ORIN
Rockridge,Alameda,ROCK
West Oakland,Alameda,WOAK
Embarcadero,San Francisco,EMBR
Montgomery Street,San Francisco,MONT
Powell Street,San Francisco,POWL
Civic Center,San Francisco,CIVC
16th Street Mission,San Francisco,16TH
24th Street Mission,San Francisco,24TH
Glen Park,San Francisco,GLEN
Balboa Park,San Francisco,BALB
Daly City,San Mateo,DALY
Colma,San Mateo,COLM
Castro Valley,Alameda,CAST
Dublin/Pleasanton,Alameda,DUBL
North Concord,Contra Costa,NORT
Pittsburg/Bay Point,Contra Costa,PITT
South San Francisco,San Mateo,SOUT
San Bruno,San Mateo,SBRN
San Francisco International Airport,San Mateo,SFIA
Millbrae,San Mateo,MLBR
West Dublin/Pleasanton,Alameda,WDUB
Oakland International Airport,Alameda,OAKL
Warm Springs,Alameda,WARM
Antioch,Contra Costa,ANTC
Pittsburg Center,Contra Costa,PITT
Milpitas,Santa Clara,MLPT
Berryessa / North San José,Santa Clara,BERY
